receiving_actor_name,sending_actor_name,sending_actor_msg_index,sending_timestamp,receiving_timestamp,timestamp_diff,proceeding_msg_received
0,0,0,1683491687.208627,1683491687.208627,0.0,True
0,1,0,1683491687.208627,1683491687.208627,0.0,True
0,2,0,1683491687.208627,1683491687.209626,0.0009989738464355469,True
0,3,0,1683491687.209626,1683491687.209626,0.0,True
0,4,0,1683491687.209626,1683491687.209626,0.0,True
0,7,0,1683491687.2106173,1683491687.2106173,0.0,True
0,12,0,1683491687.2106173,1683491687.2106173,0.0,True
0,11,0,1683491687.2106173,1683491687.2115982,0.0009808540344238281,True
0,9,0,1683491687.2106173,1683491687.2115982,0.0009808540344238281,True
0,10,0,1683491687.2106173,1683491687.2115982,0.0009808540344238281,True
0,5,0,1683491687.2106173,1683491687.2115982,0.0009808540344238281,True
0,8,0,1683491687.2106173,1683491687.2115982,0.0009808540344238281,True
0,14,0,1683491687.2106173,1683491687.2115982,0.0009808540344238281,True
0,6,0,1683491687.2106173,1683491687.2115982,0.0009808540344238281,True
0,13,0,1683491687.2106173,1683491687.2115982,0.0009808540344238281,True
0,17,0,1683491687.2106173,1683491687.2115982,0.0009808540344238281,True
0,16,0,1683491687.2106173,1683491687.2115982,0.0009808540344238281,True
0,15,0,1683491687.2106173,1683491687.2115982,0.0009808540344238281,True
0,18,0,1683491687.2106173,1683491687.2115982,0.0009808540344238281,True
0,19,0,1683491687.2106173,1683491687.2115982,0.0009808540344238281,True
0,0,1,1683491687.2257507,1683491687.2257507,0.0,True
0,3,1,1683491687.2257507,1683491687.2257507,0.0,True
0,2,1,1683491687.2257507,1683491687.2257507,0.0,True
0,1,1,1683491687.2257507,1683491687.2267165,0.0009658336639404297,True
0,5,1,1683491687.2257507,1683491687.2267165,0.0009658336639404297,True
0,4,1,1683491687.2257507,1683491687.2267165,0.0009658336639404297,True
0,13,1,1683491687.2257507,1683491687.2267165,0.0009658336639404297,True
0,10,1,1683491687.2257507,1683491687.2267165,0.0009658336639404297,True
0,12,1,1683491687.2257507,1683491687.2267165,0.0009658336639404297,True
0,7,1,1683491687.2257507,1683491687.2267165,0.0009658336639404297,True
0,14,1,1683491687.2257507,1683491687.2267165,0.0009658336639404297,True
0,9,1,1683491687.2257507,1683491687.2267165,0.0009658336639404297,True
0,15,1,1683491687.2257507,1683491687.2267165,0.0009658336639404297,True
0,6,1,1683491687.2257507,1683491687.2267165,0.0009658336639404297,True
0,18,1,1683491687.2257507,1683491687.2267165,0.0009658336639404297,True
0,17,1,1683491687.2257507,1683491687.2277174,0.001966714859008789,True
0,11,1,1683491687.2257507,1683491687.2277174,0.001966714859008789,True
0,8,1,1683491687.2257507,1683491687.2277174,0.001966714859008789,True
0,16,1,1683491687.2257507,1683491687.2277174,0.001966714859008789,True
0,19,1,1683491687.2257507,1683491687.2277174,0.001966714859008789,True
0,0,2,1683491687.241818,1683491687.242815,0.0009970664978027344,True
0,5,2,1683491687.2409017,1683491687.242815,0.001913309097290039,True
0,4,2,1683491687.2409017,1683491687.242815,0.001913309097290039,True
0,9,2,1683491687.2409017,1683491687.2438195,0.002917766571044922,True
0,3,2,1683491687.2409017,1683491687.2438195,0.002917766571044922,True
0,2,2,1683491687.2409017,1683491687.2438195,0.002917766571044922,True
0,6,2,1683491687.2409017,1683491687.2444305,0.0035288333892822266,True
0,7,2,1683491687.2409017,1683491687.2444305,0.0035288333892822266,True
0,1,2,1683491687.2409017,1683491687.2444305,0.0035288333892822266,True
0,11,2,1683491687.2409017,1683491687.2444305,0.0035288333892822266,True
0,12,2,1683491687.2409017,1683491687.2444305,0.0035288333892822266,True
0,18,2,1683491687.2409017,1683491687.2444305,0.0035288333892822266,True
0,10,2,1683491687.241818,1683491687.2444305,0.002612590789794922,True
0,15,2,1683491687.241818,1683491687.2454705,0.0036525726318359375,True
0,14,2,1683491687.241818,1683491687.2454705,0.0036525726318359375,True
0,17,2,1683491687.241818,1683491687.2454705,0.0036525726318359375,True
0,19,2,1683491687.241818,1683491687.2454705,0.0036525726318359375,True
0,13,2,1683491687.241818,1683491687.2454705,0.0036525726318359375,True
0,16,2,1683491687.241818,1683491687.2454705,0.0036525726318359375,True
0,8,2,1683491687.241818,1683491687.2454705,0.0036525726318359375,True
0,0,3,1683491687.2584362,1683491687.259446,0.0010097026824951172,True
0,3,3,1683491687.2564416,1683491687.259446,0.003004312515258789,True
0,5,3,1683491687.2564416,1683491687.259446,0.003004312515258789,True
0,1,3,1683491687.2564416,1683491687.2604346,0.003993034362792969,True
0,4,3,1683491687.2564416,1683491687.2604346,0.003993034362792969,True
0,12,3,1683491687.2564416,1683491687.2604346,0.003993034362792969,True
0,9,3,1683491687.2564416,1683491687.2614846,0.00504302978515625,True
0,11,3,1683491687.2564416,1683491687.2614846,0.00504302978515625,True
0,6,3,1683491687.2564416,1683491687.2614846,0.00504302978515625,True
0,16,3,1683491687.2564416,1683491687.2614846,0.00504302978515625,True
0,7,3,1683491687.2564416,1683491687.2625332,0.006091594696044922,True
0,18,3,1683491687.2564416,1683491687.2625332,0.006091594696044922,True
0,8,3,1683491687.2574298,1683491687.2625332,0.005103349685668945,True
0,14,3,1683491687.2574298,1683491687.2625332,0.005103349685668945,True
0,13,3,1683491687.2574298,1683491687.2635233,0.006093502044677734,True
0,2,3,1683491687.2574298,1683491687.2635233,0.006093502044677734,True
0,17,3,1683491687.2574298,1683491687.2635233,0.006093502044677734,True
0,19,3,1683491687.2574298,1683491687.2635233,0.006093502044677734,True
0,10,3,1683491687.2574298,1683491687.2648761,0.0074462890625,True
